id;server_key;ip_address
1;29-1;192.168.42.117
2;32-1;192.168.42.119
3;32-2;192.168.42.120
4;33-1;192.168.42.53
5;47-1;192.168.42.144
6;48-1;192.168.42.145
7;55-1;192.168.42.156
8;57-1;192.168.42.158
9;110-1;192.168.42.213
10;111-1;192.168.42.210
11;112-1;192.168.42.214
12;130-1;192.168.43.18
13;135-1;192.168.43.37
14;144-1;192.168.43.50
15;158-1;192.168.43.79
16;166-1;192.168.43.89
17;180-1;192.168.43.107
18;184-2;192.168.43.111
19;185-1;192.168.43.112
20;192-1;192.168.43.122
21;197-1;192.168.43.127
22;200-1;192.168.43.129
23;206-1;192.168.45.27
24;206-2;192.168.45.50
25;211-1;192.168.43.140
26;217-1;192.168.43.147
27;218-14;192.168.43.169
28;218-117;192.168.43.148
29;218-100;192.168.42.175
30;218-7;192.168.43.192
31;218-141;192.168.45.173
32;218-56;192.168.43.217
33;218-115;192.168.45.34
34;218-93;192.168.43.134
35;218-68;192.168.43.224
36;218-134;192.168.45.122
37;218-27;192.168.43.183
38;218-94;192.168.42.109
39;218-127;192.168.45.95
40;218-122;192.168.45.48
41;218-72;192.168.43.233
42;218-54;192.168.43.230
43;218-51;192.168.43.209
44;218-87;192.168.44.155
45;218-81;192.168.44.73
46;218-76;192.168.44.134
47;218-58;192.168.43.220
48;218-74;192.168.43.184
49;218-23;192.168.43.206
50;218-102;192.168.42.171
51;218-105;192.168.42.167
52;218-22;192.168.43.178
53;218-26;192.168.43.182
54;218-45;192.168.43.205
55;218-55;192.168.43.229
56;218-40;192.168.43.197
57;218-46;192.168.45.51
58;218-77;192.168.44.76
59;218-5;192.168.43.159
60;218-67;192.168.43.227
61;218-78;192.168.44.130
62;218-82;192.168.44.133
63;218-119;192.168.45.31
64;218-69;192.168.43.223
65;218-47;192.168.43.210
66;218-132;192.168.45.123
67;218-125;192.168.45.98
68;218-85;192.168.44.154
69;218-71;192.168.43.215
70;218-53;192.168.43.231
71;218-6;192.168.43.160
72;218-104;192.168.42.169
73;218-120;192.168.43.208
74;218-147;192.168.41.10
75;218-99;192.168.42.172
76;218-112;192.168.45.26
77;218-52;192.168.43.222
78;218-60;192.168.43.221
79;218-42;192.168.45.32
80;218-108;192.168.43.212
81;218-130;192.168.45.120
82;218-8;192.168.43.163
83;218-137;192.168.45.148
84;218-144;192.168.45.172
85;218-35;192.168.43.200
86;218-61;192.168.43.219
87;218-111;192.168.45.29
88;218-123;192.168.45.49
89;218-131;192.168.45.118
90;218-30;192.168.43.186
91;218-11;192.168.43.166
92;218-66;192.168.43.226
93;218-91;192.168.42.65
94;218-37;192.168.43.198
